"title","content","date","variant","images","verified","author","rating","product","url"
"Perfect for me!","The table is very spacious for me to keep my laptop, printer as well as few books and still have some space left. The quality of the material is excellent as well. I followed the instructions sheet which came along and the table was really very easy to assemble. All and all it was a perfect find.","28 Feb 2020","Color: Black","","Yes","SM","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Exactly what I needed","Product came and was packaged well no damage, I am not good at setting furniture up but this only took me 30-40 mins by myself all acres and tools came with it. Fits all of my equipment and is exactly what I was looking for.","27 May 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/71+0+aPBrsL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71fP5X8t1LL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71fmKpJOTPL._SY88.jpg","Yes","Andrew ortega","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"L-Shape Desk For The Win!","This desk is amazing and the company that I received it from is as well. I have been looking for an L-Shaped desk for a long time now as I definitely need the space. I ordered this one and it was delivered fast and even on a Sunday! The instructions for putting it together are super easy and the assembly is super simple as well. I was able to get it together and up in less than 20 minutes! I have even tested the sturdiness of this desk as I can be quite the grumpy gamer when I lose matches and it can handle my angry hulk smashes time and time again! I definitely recommend this desk 100% 10/10!","18 Feb 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/812jaVZLuGL._SY88.jpg","Yes","Mychal smith","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Office Desk","Great work desk. It’s sturdy, very easy to put together & a nice material (doesn’t feel cheap), it’s also a nice size. I put it together by myself, would have taken less then an hour except I built it in my living room not realizing I would have to fit it through my hall way & through a door way...needless to say I can take this desk apart & build it again without the instructions. It’s a very nice desk though, highly recommend.","09 Jun 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/71KYetc+G0L._SY88.jpg","Yes","Aaron & Summer","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great quality desk and perfect size","Fits perfectly in my room and looks great. The legs and the wood feel very heavy duty. I looked at a few different corner desks and this one was the best priced with the exact size I needed","19 Jan 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/81oZuaLOIzL._SY88.jpg","Yes","Anthony Gonzales","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Missing piece","This was missing a piece(piece ""E"") crucial for holding the desk togther.... now I have no idea what to do. I feel like I wasted my money.","26 Jan 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/61Mlz79PdIL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81F5UNlgUmL._SY88.jpg","Yes","marcus grum","1.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Reasonable L shape table, it is suitable for office not for gaming!","I really enjoy this table since it pretty lightweight compared to others, but its material looks very heavy duty and sturdy. I love the way they design the L shape. Instead of sharp, they make it shapes like a circle so that you have lots of room behind for wires and stuff like that. Overall, it is a good one for the office table, but if you are looking for a gaming table it shouldn't be an option for you in my opinion. It is not as wide enough as the regular gaming table. So if you are looking for an office table, this is the one for you!! I don't know why I cannot post a real picture of what I have set up but anyway, just give it a shot I would say :)","27 Mar 2020","","","Yes","hao do","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very simple to put together and very sturdy.","I've been wanting to replace my old desk, which I have used for over 10 years now, with a more newer and spacious one.  This was perfect for the price.  Super simple to assemble, though one of the screws (on the number 1 bag) was the wrong size, though I was still able to put into place the needed part with other screws (3/4 used basically).  Anyways,  Its good for its price, very worth the money spent. Only thing I had a problem with was the monitor stand.  I use a TV for my PC so its large enough already, plus the stand was too high for me.  I put it upside down instead and used it as a make-shift storage for unused controllers, and other small electronics, so not much harm done. tl:dr  Very great table for the price.  Worth it.","15 Feb 2020","Color: Black","","Yes","John Michael P. Lupas","5.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Caveat Emptor","I want to let you know that this manual is mostly picture driven and that you may wind up changing up many things before you get it right. My biggest recommendation is to keep everything loose until you know that is is going to work. As for the integrity of the desk there is always going to be one part (pictured above) that does not center correctly no matter how many times you redo it (three for me) I could not get it flush. It does not seem like the kind of desk that will last for years to come.  If you bought this for gaming you probably do not want to use the monitor stand unless you got a cheap LCD like I did and have a little money to throw around. My final thought is that this desk seems more at home in a quiet setting which should help it last longer but you know the old saying caveat emptor (Let the buyer beware for those who don't speak Latin).","30 May 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/51b0TXmBg-L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61IFlskVaYL._SY88.jpg","Yes","Chris Sheppard","4.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Gibberish instructions, but a good desk","I’m going to start off with the bad, I received the product defective. As shown in the pictures, there was supposed to be two holes on one side to insert the screws, but it was defective and one hole was on one side and the other on the correct side. I made do, and assembled it just fine after figuring out that the diagram was completely off and did not match ANY parts. I had to use the picture to assemble most of it. I did have trouble aligning the parts since the holes were mostly off or not a perfect fit. The good, It looks very nice assembled. It only wiggles (barely) on the side that is missing the screw. The height is perfect. It’s also long enough to fit my 32 in tv, Xbox and 22in monitor. I wouldn’t recommend using the shelf for the monitor as it would be way to high and a strain on your neck. Cleans good, and once you properly adjust the little caps on the legs, it’s perfectly straight and not wiggly. Had it not been defective and hard to assemble I would give it 4 stars because the quality is good. For a beginner gaming desk.","20 Jun 2020","Color: Black","https://images-na.ssl-images-amazon.com/images/I/713gxIr2eXL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71Max1YvMCL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81jHet8lsgL._SY88.jpg","Yes","Lexy","3.0","L Shaped Desk Home Office Desk with Round Corner Computer Desk with Large Monitor Stand Desk Workstation,Black","/Shaped-Office-Computer-Monitor-Workstation/product-reviews/B081DWJ7KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
